Pengajuan via	No. Aju	Tgl Aju	No. K.1.1	Tgl K.1.1	UPT	Satpel	Tempat Periksa	Alamat Tempat Periksa	Tgl Periksa	Pemohon	Alamat Pemohon	Identitas Pemohon	Pengirim	Alamat Pengirim	Identitas Pengirim	Penerima	Alamat Penerima	Identitas Penerima	Asal	Daerah Asal	Pelabuhan Asal	Tujuan	Daerah Tujuan	Pelabuhan Tujuan	Moda Alat Angkut	Nama Alat Angkut	Nomor Voyage	Jenis Kemasan	Jumlah Kemasan	Tanda Kemasan	Nomor Dokumen	Nomor Seri	Tgl Dokumen	Klasifikasi	Komoditas	Nama Tercetak	Kode HS	volumeP1	volumeP2	volumeP3	volumeP4	volumeP5	volumeP6	volumeP7	volumeP8	satuan	Harga Barang (Rp)	Kontainer	Dokumen Pendukung
PTK	14020IMT251016201031HVZJNP	16/10/2025 20:13	2025-T2.0-1402.0-K.1.1-000067	18/10/2025 11:40	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	Pelabuhan Laut Dumai	PELABUHAN PELINDO DERMAGA A	JALAN DATUK LAKSAMANA, KELURAHAN, BULUH KASAP, DUMAI KOTA	17/10/2025 10:00	PT. SOLUSINDO PERDANA LOGISTIK	Jalan Semangka RT.013 Kelurahan Pangkalan Sesai, Kecamatan Dumai	'0998470371212000000000	SOON HUA LOGISTICS SDN BHD	NO170B,2ND FLOOR, PERSIARAN RAJA MUDA MUSA, 42000 PORT KLANG, SELANGOR DARUL EHSAN MALAYSIA	'-	PT. SOLUSINDO PERDANA LOGISTIK	Jalan Semangka RT.013 Kelurahan Pangkalan Sesai, Kecamatan Dumai	'0998470371212000000000	MALAYSIA		Port Klang	INDONESIA	KOTA DUMAI	Pelabuhan Dumai	Laut	KLM. PUTRA SORSEL MANDIRI	-	Bag	2400	-	2025-T2.0-1402.0-K.9.2-000067	JETW6FU	22/10/2025 16:07	Hasil Tumbuhan / Non Benih - Berbentuk biji	KACANG TANAH	KACANG TANAH	'12024200	60.000,00	0	0	0	0	0	0	60.000,00	kilogram	1.140.000.000		"Prior Notice No. T.20251009.IFOWRH Tanggal: 2025-10-15; Phytosanitary Certificate No. MY0083390J12025 Tanggal: 2025-10-09; Certificate of Analysis (COA) No. LS/F/I0969/25 (A1) Tanggal: 2025-10-09"
PTK	14000IMT250604100636ZSGNGP	04/06/2025 10:56	2025-T2.0-1400.0-K.1.1-000190	05/06/2025 07:50	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk		BUATAN	05/06/2025 09:00	PT. RIAU ANDALAN PAPERBOARD INTERNATIONAL	JL.M.H. Thamrin No.31. Kebon Melati, Tanah Abang, Kota ADM.Jakarta Pusat, DKI Jakarta 10230	'0967025974072000000000	FORINDO PTE LTD ON BEHALF OF EIAM THONGCHAI INDUSTRY CO., LTD	BLK 513 KAMPONG BAHRU ROAD HEX01-121 KEPPEL DISTRIPARK SINGAPORE 099449	'099449	PT. RIAU ANDALAN PAPERBOARD INTERNATIONAL	JL.M.H. Thamrin No.31. Kebon Melati, Tanah Abang, Kota ADM.Jakarta Pusat, DKI Jakarta 10230	'0967025974072000000000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Buatan	Laut	MARCOPOLO 906	023-2503	Bag	400		2025-T2.0-1400.0-K.9.2-000190	YAV2PBJ	05/06/2025 14:29	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	343,6	0	0	0	0	0	0	343,6	ton	2.094.400.000	"No. GCXU2220115 Seal: THBK54370; No. SEKU1527767 Seal: THBK59549; No. ONEU2049963 Seal: THBK54381; No. TEMU0585708 Seal: THBK59515; No. TEMU5776224 Seal: THBK59421; No. NYKU9878953 Seal: THBK59473; No. TEMU5127884 Seal: THBK59436; No. KKTU8210650 Seal: THBK59507; No. KKTU8175796 Seal: THBK59533; No. KKTU8111359 Seal: THBK59474; No. KKTU7989695 Seal: THBK59403; No. DFSU1706130 Seal: THBK59532; No. NYKU9739599 Seal: THBK54382; No. TCLU3516489 Seal: THBK59437; No. TCLU3186366 Seal: THBK54369; No. TRHU2877169 Seal: THBK59508; No. ONEU2056812 Seal: THBK59402; No. CXDU1596620 Seal: THBK59422; No. TEMU4221140 Seal: THBK59516; No. NYKU3722984 Seal: THBK59550"	"Phytosanitary Certificate No. TH6805038750 Tanggal: 2025-05-22; Packing List No. IVD68050009 Tanggal: 2025-05-01; Invoice No. IVD68050009 Tanggal: 2025-05-01; Bill of Lading (BL) No. SB/M906-023/2503 Tanggal: 2025-06-02"
PTK	14000IMT250220163455LS29CP	21/02/2025 08:55	2025-T2.0-1400.0-K.1.1-000072	25/02/2025 07:43	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk		BUATAN	25/02/2025 09:00	PT. RIAU ANDALAN PAPERBOARD INTERNATIONAL	JL.M.H. Thamrin No.31. Kebon Melati, Tanah Abang, Kota ADM.Jakarta Pusat, DKI Jakarta 10230	'0967025974072000000000	EIAM THONGCHAI INDUSTRY CO., LTD	29 MOO.11, NGIO SUB -DISTRICT, PAKTHONGCHAI DISTRICT, NAKHONRATCHASIMA PROVINCE , THAILAND 30150	'30150	PT. RIAU ANDALAN PAPERBOARD INTERNATIONAL	JL.M.H. Thamrin No.31. Kebon Melati, Tanah Abang, Kota ADM.Jakarta Pusat, DKI Jakarta 10230	'0967025974072000000000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Buatan	Laut	MARCOPOLO 294-259	2503	Bag	400		2025-T2.0-1400.0-K.9.2-000072	O1VBX91	27/02/2025 08:23	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	343,6	0	0	0	0	0	0	343,6	ton	1.985.600.000	"No. TRHU3883633 Seal: THBJ57585; No. BMOU1486305 Seal: THBJ23975; No. ONEU2285676 Seal: THBJ57533; No. ONEU2078200 Seal: THBJ57471; No. ONEU2587470 Seal: THBJ23997; No. CXDU1768170 Seal: THBJ28127; No. ONEU2318471 Seal: THBJ23998; No. TRHU3586337 Seal: THBJ57438; No. KKTU8247258 Seal: THBJ26182; No. KKTU8245300 Seal: THBJ26187; No. MOAU1438221 Seal: THBJ57454; No. ONEU3111663 Seal: THBJ57477; No. ONEU2301400 Seal: THBJ28918; No. BMOU1537296 Seal: THBJ57563; No. GCXU2574675 Seal: THBJ57590; No. TGBU3241476 Seal: THBJ57573; No. NYKU9885090 Seal: THBJ25235; No. TGBU3299919 Seal: THBJ57439; No. ONEU3024466 Seal: THBJ23996; No. ONEU2342375 Seal: THBJ57598"	"Phytosanitary Certificate No. TH6802004763 Tanggal: 2025-02-06; Invoice No. IVD68020005 Tanggal: 2025-02-01; Packing List No. IVD68020005 Tanggal: 2025-02-01; Bill of Lading (BL) No. SB/M294-259/2503 Tanggal: 2025-02-20; Bill of Lading (BL) No. SB/M294-259/2503 Tanggal: 2025-02-20"
PTK	14000IMT250312080438DTRASP	12/03/2025 09:07	2025-T2.0-1400.0-K.1.1-000098	17/03/2025 08:51	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk	Pelabuhan PT. INDAH KIAT PULP & PAPER TBK	Jl. Raya Minas - Perawang Km 26, Kec. Tualang, Kab. Siak 28772, Riau - Indonesia	17/03/2025 09:30	PT. INDAH KIAT PULP & PAPER TBK	GEDUNG SINAR MAS LAND PLAZA MENARA 2 LT. 9 JL MH. THAMRIN, 51, GONDANGDIA, MENTENG, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA, 10350	'0010005668092000092000	PHU THAI GLOBAL CORPORATION	D3 STREET, PHU MY 2 INDUSTRIAL PARK EXPANSION, TAN PHUOC WARD, PHU MY TOWN, BA RIA-VUNG TAU PROVINCE, VIETNAM	'0	PT. INDAH KIAT PULP & PAPER TBK	JL. RIAU NO.105	'0010005668092000092000	VIETNAM		Phu My	INDONESIA	KABUPATEN SIAK	Perawang, Sumatra	Laut	BG. KAIJU CATEGORY 2	-	"Bulk, solid, large particles (""nodules"")"	1		2025-T2.0-1400.0-K.9.2-000098	3RMK0A9	18/03/2025 08:28	Produk tumbuhan yang tidak diolah - Kayu yang dipergunakan sebagai bahan pembungkus	KAYU AKASIA	Acacia Woodchips for Pulping Use	'44012200	7.237,80	0	0	0	0	0	0	7.237,80	ton	12.770.114.685		"Phytosanitary Certificate No. 000052/25/0203 Tanggal: 2025-03-03; Packing List No. 4500006072 Tanggal: 2025-03-01; Bill of Lading (BL) No. G2K004 Tanggal: 2025-03-01; Invoice No. 4500006072 Tanggal: 2025-03-01"
PTK	14020IMT250225235438JTJHWP	25/02/2025 23:54	2025-T2.0-1402.0-K.1.1-000014	26/02/2025 10:53	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	Pelabuhan Laut Dumai	DERMAGA A PELABUHAN INDONESIA	JALAN DATUK LAKSAMANA KELURAHAN BULUH KASAP DUMAI KOTA	26/02/2025 09:30	PT. SOLUSINDO PERDANA LOGISTIK	Jalan Semangka RT.013 Kelurahan Pangkalan Sesai, Kecamatan Dumai	'0998470371212000000000	TEH HUP SENG TRADING	31, JALAN SHAHBANDAR,83000 BATU PAHAT JOHOR MALAYSIA	'-	PT. SOLUSINDO PERDANA LOGISTIK	Jalan Semangka RT.013 Kelurahan Pangkalan Sesai, Kecamatan Dumai	'0998470371212000000000	MALAYSIA		Port Klang	INDONESIA	KOTA DUMAI	Pelabuhan Dumai	Laut	KLM. PINISI INDAH	-	Bag	1600	-	2025-T2.0-1402.0-K.9.2-000014	1VATJ5T	03/03/2025 11:20	Hasil Tumbuhan / Non Benih - Berbentuk biji	KACANG TANAH	KACANG TANAH	'12024200	40.100,00	0	0	0	0	0	0	40.100,00	kilogram	760.000.000		"Bill of Lading (BL) No. D.PKLG:02/2025(027) Tanggal: 2025-02-22; Prior Notice No. T.20250212.8DRZB5 Tanggal: 2025-02-19; Certificate of Analysis (COA) No. LS/F/H7679/25 (A1) Tanggal: 2025-02-11; Phytosanitary Certificate No. MY0010692J12025 Tanggal: 2025-02-13"
PTK	14020IMT250416114107XX0WAP	16/04/2025 13:08	2025-T2.0-1402.0-K.1.1-000022	16/04/2025 14:24	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	Pelabuhan Laut Dumai	PELABUHAN INDONESIA DERMAGA A	JALAN DATUK LAKSAMANA KELURAHAN BULUH KASAP DUMAI KOTA	17/04/2025 15:30	PT. SOLUSINDO PERDANA LOGISTIK	Jalan Semangka RT.013 Kelurahan Pangkalan Sesai, Kecamatan Dumai	'0998470371212000000000	SOON HUA LOGISTICS SDN BHD	NO170B,2ND FLOOR, PERSIARAN RAJA MUDA MUSA,42000 PORT KLANG, SELANGOR DARUL EHSAN, MALAYSIA	'-	PT. SOLUSINDO PERDANA LOGISTIK	Jalan Semangka RT.013 Kelurahan Pangkalan Sesai, Kecamatan Dumai	'0998470371212000000000	MALAYSIA		Port Klang	INDONESIA	KOTA DUMAI	Pelabuhan Dumai	Laut	KLM. PINISI INDAH	-	Bag	1600	NON MERK	2025-T2.0-1402.0-K.9.2-000022	QO4Z57N	22/04/2025 11:02	Hasil Tumbuhan / Non Benih - Berbentuk biji	KACANG TANAH	KACANG TANAH	'12024200	40.100,00	0	0	0	0	0	0	40.100,00	kilogram	760.000.000		"Bill of Lading (BL) No. D.PKLG:04/2025(021) Tanggal: 2025-04-22; Certificate of Analysis (COA) No. LS/F/H8356/25(A1) Tanggal: 2025-04-09; Prior Notice No. T.20250414.D7ZM48 Tanggal: 2025-04-16; Phytosanitary Certificate No. MY006015004B12119 Tanggal: 2025-04-14"
PTK	14000IMT2502131851056BZTWP	13/02/2025 18:51	2025-T2.0-1400.0-K.1.1-000059	17/02/2025 08:18	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk	PELABUHAN BUATAN		17/02/2025 19:00	PT. RIAU ANDALAN KERTAS	JL. Teluk Betung No.31/Kebon Melati, Tanah Abang, Kota ADM.Jakarta, DKI Jakarta	'0017400268092000000000	FORINDO PTE LTD ON BEHALFOF EIAMHENG TAPIOCA STARCH INDUSTRY COLTD	BLOK 513 KAMPONG BAHRU ROAD HEX01-121 KEPPEL DISTRIPARK SINGAPORE 099449	'099449	PT. RIAU ANDALAN KERTAS	JL. Teluk Betung No.31/Kebon Melati, Tanah Abang, Kota ADM.Jakarta, DKI Jakarta	'0017400268092000000000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Buatan	Laut	MARCOPOLO 256-04	2501	Bag	200		2025-T2.0-1400.0-K.9.2-000059	EJELZXB	20/02/2025 08:06	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	170,6	0	0	0	0	0	0	170,6	ton	992.800.000	"No. YMLU3454736 Seal: YMAS887321; No. BEAU2579795 Seal: YMAS886069; No. SEGU2734419 Seal: YMAS886075; No. BMOU2953847 Seal: YMAS887330; No. MAGU2446212 Seal: YMAS887322; No. SEGU2823820 Seal: YMAS887378; No. OCGU2073815 Seal: YMAS886074; No. SEGU1390860 Seal: YMAS886068; No. YMLU3613416 Seal: YMAS887248; No. OCGU2060696 Seal: YMAS886026"	"Phytosanitary Certificate No. TH6802001443 Tanggal: 2025-02-03; Bill of Lading (BL) No. SB/256-04/2501 Tanggal: 2025-02-12; Invoice No. 027/25 Tanggal: 2025-01-24; Packing List No. 027/25 Tanggal: 2025-01-24"
PTK	14000IMT250421182722EYVRNP	21/04/2025 20:53	2025-T2.0-1400.0-K.1.1-000141	23/04/2025 08:10	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk		BUATAN	22/04/2025 09:00	PT. RIAU ANDALAN KERTAS	JL. Teluk Betung No.31/Kebon Melati, Tanah Abang, Kota ADM.Jakarta, DKI Jakarta	'0017400268092000000000	FORINDO PTE LTD ON BEHALF OF POON PHOL CO LTD	KAMPONG BAHRU ROAD, HEX01-121 KEPPEL DISTRIPARK, SINGAPORE 099449	'099449	PT. RIAU ANDALAN KERTAS	JL. Teluk Betung No.31/Kebon Melati, Tanah Abang, Kota ADM.Jakarta, DKI Jakarta	'0017400268092000000000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Buatan	Laut	MARCOPOLO-352	047-2504	Bag	400		2025-T2.0-1400.0-K.9.2-000141	PYK4MCG	24/04/2025 08:14	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	340,96	0	0	0	0	0	0	340,96	ton	2.001.920.000	"No. DRYU2917882 Seal: MCL0144426; No. MGEU1918270 Seal: MCL0144533; No. MGEU2101751 Seal: MCL0144428; No. MXCU0028556 Seal: MCL0144439; No. MGEU2103625 Seal: MCL0144440; No. MGEU1912100 Seal: MCL0144422; No. MGEU1900157 Seal: MCL0144438; No. MGEU2000490 Seal: MCL0144432; No. MGEU2107024 Seal: MCL0144423; No. MGEU2007447 Seal: MCL0144424; No. MXCU0035200 Seal: MCL0144425; No. MGEU2183169 Seal: MCL0144421; No. MGEU1908820 Seal: MCL0144430; No. MGEU1903536 Seal: MCL0144434; No. DRYU2914604 Seal: MCL0144436; No. MGEU2105145 Seal: MCL0144532; No. MXCU0018590 Seal: MCL0144427; No. MGEU2003570 Seal: MCL0144434; No. MGEU2200158 Seal: MCL0144531; No. MGEU2108925 Seal: MCL0144429"	"Packing List No. PPC-104/25 Tanggal: 2025-04-06; Invoice No. PPC-104/25 Tanggal: 2025-04-06; Phytosanitary Certificate No. TH6804010976 Tanggal: 2025-04-10; Bill of Lading (BL) No. SB/M352-047/2504 Tanggal: 2025-04-19"
PTK	14000IMT250526103135HT57QP	26/05/2025 12:12	2025-T2.0-1400.0-K.1.1-000180	28/05/2025 07:27	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk		BUATAN	28/05/2025 09:00	PT. RIAU ANDALAN PAPERBOARD INTERNATIONAL	JL.M.H. Thamrin No.31. Kebon Melati, Tanah Abang, Kota ADM.Jakarta Pusat, DKI Jakarta 10230	'0967025974072000000000	FORINDO PTE LTD ON BEHALF OF EIAM THONGCHAI INDUSTRY CO., LTD	BLK 513 KAMPONG BAHRU ROAD HEX01-121 KEPPEL DISTRIPARK SINGAPORE 099449	'099449	PT. RIAU ANDALAN PAPERBOARD INTERNATIONAL	JL.M.H. Thamrin No.31. Kebon Melati, Tanah Abang, Kota ADM.Jakarta Pusat, DKI Jakarta 10230	'0967025974072000000000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Buatan	Laut	MARCOPOLO 256	Nov-01	Bag	200		2025-T2.0-1400.0-K.9.2-000180	DEAY9I7	28/05/2025 14:11	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	171,8	0	0	0	0	0	0	171,8	ton	1.047.200.000	"No. YMLU3584010 Seal: YMAS863056; No. TCLU7694010 Seal: YMAS863012; No. ARDU2346908 Seal: YMAS863008; No. YMLU3637151 Seal: YMAS863007; No. TRHU1352561 Seal: YMAS863052; No. YMMU1057796 Seal: YMAS863009; No. YMLU3633351 Seal: YMAS863010; No. TEMU0747141 Seal: YMAS863054; No. YMLU3615316 Seal: YMAS863005; No. YMLU3497846 Seal: YMAS863058"	"Phytosanitary Certificate No. TH6805020395 Tanggal: 2025-05-13; Bill of Lading (BL) No. SB/M256-11/2501 Tanggal: 2025-05-24; Invoice No. IVD68050002 Tanggal: 2025-05-01; Packing List No. IVD68050002 Tanggal: 2025-05-01"
PTK	14020IMT251003160838DZTO5P	03/10/2025 16:18	2025-T2.0-1402.0-K.1.1-000062	03/10/2025 09:59	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	Pelabuhan Laut Dumai	PELABUHAN PELINDO DERMAGA A	JALAN DATUK LAKSAMANA, KELURAHAN, BULUH KASAP, DUMAI KOTA	03/10/2025 17:30	PT. SOLUSINDO PERDANA LOGISTIK	Jalan Semangka RT.013 Kelurahan Pangkalan Sesai, Kecamatan Dumai	'0998470371212000000000	SOON HUA LOGISTICS SDN BHD	NO170B,2ND FLOOR, PERSIARAN RAJA MUDA MUSA, 42000 PORT KLANG, SELANGOR DARUL EHSAN MALAYSIA	'-	PT. SOLUSINDO PERDANA LOGISTIK	Jalan Semangka RT.013 Kelurahan Pangkalan Sesai, Kecamatan Dumai	'0998470371212000000000	MALAYSIA		Port Klang	INDONESIA	KOTA DUMAI	Pelabuhan Dumai	Laut	KLM. SURYA PERMAI	-	Bag	2400	-	2025-T2.0-1402.0-K.9.2-000062	BLTHM50	16/10/2025 10:03	Hasil Tumbuhan / Non Benih - Berbentuk biji	KACANG TANAH	KACANG TANAH	'12024200	60.000,00	0	0	0	0	0	0	60.000,00	kilogram	1.140.000.000		"Phytosanitary Certificate No. MY0080670J12025 Tanggal: 2025-09-30; Certificate of Analysis (COA) No. LS/F/10896/25 (A1) Tanggal: 2025-10-02; Prior Notice No. T.20251003.VA86OQ Tanggal: 2025-10-03"
PTK	14033IMT251103080346QQ1EGM	03/11/2025 08:04	2025-T2.0-1403.3-K.1.1-000042	28/10/2025 10:07	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	Pelabuhan Laut Bengkalis	PELABUHAN PERIKANAN BENGKALIS		29/10/2025 14:07	CV. GRAHA JAYA MANDIRI	JL. YOS SUDARSO RT.004 RW.002 KEL. BENGKALIS KMOTA, KAB. BENGKALIS	'0933647752219000000000	SYARIKAT AMIN AGENCY	JL. SHAHBANDAR 83000 BATU PAHAT - MALAYSIA	'00	CV. GRAHA JAYA MANDIRI	JL. YOS SUDARSO RT.004 RW.002 KEL. BENGKALIS KMOTA, KAB. BENGKALIS	'0933647752219000000000	MALAYSIA		Batu Pahat	INDONESIA	KABUPATEN BENGKALIS	Bengkalis	Laut	KLM. BINTANG JAYA I	-	Bag, gunny	900	-	2025-T2.0-1403.3-K.9.2-000042	SB732ZD	02/11/2025 13:33	Hasil Tumbuhan / Non Benih - Berbentuk biji	KACANG TANAH	KACANG TANAH	'12024200	22,5	0	0	0	0	0	0	22,5	ton	675.000.000		"Prior Notice No. T.20251028.7UHGDX Tanggal: 2025-10-28; Certificate of Analysis (COA) No. LS/F/I1207/25 Tanggal: 2025-10-28; Phytosanitary Certificate No. 0660954 / MY0088881J12025 Tanggal: 2025-10-27"
PTK	14000IMT250214205916NDNSTP	14/02/2025 20:59	2025-T2.0-1400.0-K.1.1-000055	17/02/2025 08:09	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk			19/02/2025 21:21	PT. RIAU ANDALAN PAPERBOARD INTERNATIONAL	JL.M.H. Thamrin No.31. Kebon Melati, Tanah Abang, Kota ADM.Jakarta Pusat, DKI Jakarta 10230	'0967025974072000000000	FORINDO PTE LTD ON BEHALF OF EIAM THONGCHAI INDUSTRY CO., LTD	BLK 513 KAMPONG BAHRU ROAD HEX01-121 KEPPEL DISTRIPARK SINGAPORE 099449	'099449	PT. RIAU ANDALAN PAPERBOARD INTERNATIONAL	JL.M.H. Thamrin No.31. Kebon Melati, Tanah Abang, Kota ADM.Jakarta Pusat, DKI Jakarta 10230	'0967025974072000000000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Buatan	Laut	TB WAHANA 17 BG INDO SUKSES 65	21SW1	Bag	400		2025-T2.0-1400.0-K.9.2-000055	T5MYLFZ	21/02/2025 08:53	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	343,6	0	0	0	0	0	0	343,6	ton	1.985.600.000	"No. TEMU5429755 Seal: THBK20352; No. TCLU7316128 Seal: THBK20373; No. TEMU5783120 Seal: THBK20416; No. TCKU1375790 Seal: THBK20316; No. FBIU0342613 Seal: THBK20417; No. TRHU3417825 Seal: THBK20398; No. CXDU1770440 Seal: THBK20427; No. SEGU2309045 Seal: THBK20388; No. WFHU1434973 Seal: THBK20387; No. TCLU2693860 Seal: THBK20414; No. NYKU3832370 Seal: THBK20351; No. KKTU8168760 Seal: THBK20413; No. FBIU0346440 Seal: THBK20354; No. TEMU2491130 Seal: THBK20446; No. KKTU8255612 Seal: THBK20374; No. TRHU1859854 Seal: THBK20317; No. NYKU3926041 Seal: THBK20399; No. TRHU1334022 Seal: THBK20353; No. TRHU2746467 Seal: THBK20445; No. TEMU0647311 Seal: THBK20428"	"Phytosanitary Certificate No. TH6801025928 Tanggal: 2025-01-27; Bill of Lading (BL) No. MTSBSX2502010 Tanggal: 2025-02-14; Invoice No. IVD68010004 Tanggal: 2025-02-10; Packing List No. IVD68010004 Tanggal: 2025-01-10"
PTK	14033IMT2503201307134DT0LM	20/03/2025 13:09	2025-T2.0-1403.3-K.1.1-000011	18/03/2025 08:12	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	Pelabuhan Laut Bengkalis	PELABUHAN PERIKANAN BENGKALIS		19/03/2025 09:07	CV. GRAHA JAYA MANDIRI	JL. YOS SUDARSO RT.004 RW.002 KEL. BENGKALIS KMOTA, KAB. BENGKALIS	'0933647752219000000000	SYARIKAT AMIN AGENCY	JL. SHAHBANDAR 83000 BATU PAHAT - MALAYSIA	'00	CV. GRAHA JAYA MANDIRI	JL. YOS SUDARSO RT.004 RW.002 KEL. BENGKALIS KMOTA, KAB. BENGKALIS	'0933647752219000000000	INDIA		Batu Pahat	INDONESIA	KABUPATEN BENGKALIS	Bengkalis	Laut	KLM. RITA 10	-	Bag, gunny	400	-	2025-T2.0-1403.3-K.9.1-000011	X6T5Y3M	21/03/2025 19:13	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	KACANG TANAH	KACANG TANAH	'12024200	10	0	0	0	0	0	0	10	ton	300.000.000		"Prior Notice No. T.20250319.RQUVX6 Tanggal: 2025-03-19; Phytosanitary Certificate No. 0620248 / MY0021 508 J12025 Tanggal: 2025-03-18; Certificate of Analysis (COA) No. LS/F/H8114/25 Tanggal: 2025-03-17"
PTK	14000IMT2503260951461ZBMAP	26/03/2025 10:27	2025-T2.0-1400.0-K.1.1-000107	27/03/2025 08:19	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk		BUATAN	27/03/2025 09:00	PT. RIAU ANDALAN KERTAS	JL. Teluk Betung No.31/Kebon Melati, Tanah Abang, Kota ADM.Jakarta, DKI Jakarta	'0017400268092000000000	FORINDO PTE LTD ON BEHALF OF POON PHOL CO LTD	KAMPONG BAHRU ROAD, HEX01-121 KEPPEL DISTRIPARK, SINGAPORE 099449	'099449	PT. RIAU ANDALAN KERTAS	JL. Teluk Betung No.31/Kebon Melati, Tanah Abang, Kota ADM.Jakarta, DKI Jakarta	'0017400268092000000000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Buatan	Laut	MARCOPOLO-294	262-2503	Bag	400		2025-T2.0-1400.0-K.9.2-000107	A4MZXOJ	27/03/2025 13:39	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	340,96	0	0	0	0	0	0	340,96	ton	2.001.920.000	"No. BMOU1456065 Seal: THBJ10121; No. CAAU2463765 Seal: THBJ10011; No. ONEU2073492 Seal: THBJ10196; No. ONEU2600865 Seal: THBJ10076; No. ONEU2512487 Seal: THBJ10069; No. NYKU3687899 Seal: THBJ10557; No. ONEU3098406 Seal: THBJ10182; No. NYKU3852674 Seal: THBJ10559; No. FBIU0327250 Seal: THBJ10014; No. ONEU2552915 Seal: THBJ10029; No. NYKU3922030 Seal: THBJ10001; No. TCLU6873330 Seal: THBJ10578; No. ONEU2140482 Seal: THBJ10002; No. SEKU1547188 Seal: THBJ10596; No. ONEU2260981 Seal: THBJ10587; No. ONEU2252395 Seal: THBJ10599; No. ONEU2107571 Seal: THBJ10199; No. ONEU2368317 Seal: THBJ10060; No. ONEU2190333 Seal: THBJ10032; No. NYKU3620133 Seal: THBJ10008"	"Phytosanitary Certificate No. TH6803018725 Tanggal: 2025-03-19; Bill of Lading (BL) No. SB/M294-262/2503 Tanggal: 2025-03-23; Packing List No. PPC-084-25 Tanggal: 2025-03-15; Invoice No. PPC-084/25 Tanggal: 2025-03-15"
